epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.12017,1.08492,4.37366,1.46916,0.02532,0.81185,0.12573,0.08305,0.82966,3.32801,1.25593,0.000126645,0.000126645,0.000126645
2,11.6109,0.9354,3.4582,1.35558,0.19036,0.51266,0.25819,0.18794,0.87324,2.51663,1.32486,0.000242357,0.000242357,0.000242357
3,17.0719,0.95308,3.08704,1.3576,0.34915,0.50674,0.39904,0.29189,0.94297,2.25759,1.38691,0.000345364,0.000345364,0.000345364
4,22.3883,0.93096,2.79428,1.33721,0.49897,0.45758,0.52463,0.38674,0.89991,1.80945,1.34894,0.000327827,0.000327827,0.000327827
5,27.7713,0.90589,2.5878,1.31032,0.52096,0.56501,0.61863,0.48443,0.82613,1.54095,1.27072,0.00030877,0.00030877,0.00030877
6,33.1045,0.88058,2.3607,1.27162,0.59251,0.67586,0.67657,0.52785,0.82019,1.3616,1.24886,0.000289712,0.000289712,0.000289712
7,38.3734,0.85641,2.23962,1.25014,0.57402,0.75412,0.71002,0.56446,0.78284,1.36634,1.19863,0.000270655,0.000270655,0.000270655
8,43.6628,0.84082,2.13559,1.2327,0.60937,0.73088,0.78676,0.63271,0.75502,1.15284,1.17017,0.000251597,0.000251597,0.000251597
9,48.9396,0.82496,2.04201,1.21775,0.75756,0.70064,0.80616,0.65402,0.74279,1.18855,1.17749,0.00023254,0.00023254,0.00023254
10,54.2613,0.80959,1.90388,1.21183,0.64979,0.82858,0.84433,0.68987,0.72973,1.06361,1.16358,0.000213482,0.000213482,0.000213482
11,74.6717,0.67481,1.82593,1.16018,0.81623,0.81757,0.88131,0.72289,0.73711,0.94326,1.14321,0.000194425,0.000194425,0.000194425
12,79.9211,0.64077,1.63154,1.12341,0.89555,0.86371,0.9409,0.7838,0.70947,0.80419,1.11207,0.000175367,0.000175367,0.000175367
13,85.1505,0.63849,1.50787,1.1229,0.88487,0.88951,0.95662,0.79067,0.70606,0.73524,1.10048,0.00015631,0.00015631,0.00015631
14,90.3103,0.6183,1.38633,1.09771,0.88422,0.90493,0.9621,0.81004,0.66814,0.72441,1.08186,0.000137252,0.000137252,0.000137252
15,95.4461,0.60296,1.30302,1.0834,0.93794,0.94427,0.97936,0.82919,0.68546,0.62292,1.08789,0.000118195,0.000118195,0.000118195
16,100.53,0.5722,1.24537,1.07669,0.94129,0.9502,0.97826,0.82883,0.66943,0.61412,1.07096,9.91375e-05,9.91375e-05,9.91375e-05
17,105.741,0.55754,1.15716,1.0478,0.96668,0.96605,0.98524,0.83563,0.664,0.56124,1.06161,8.008e-05,8.008e-05,8.008e-05
18,110.847,0.53761,1.12779,1.04037,0.96543,0.95396,0.98467,0.83423,0.65559,0.55711,1.06486,6.10225e-05,6.10225e-05,6.10225e-05
19,115.986,0.53998,1.08168,1.03613,0.97329,0.9757,0.98816,0.83923,0.66459,0.52988,1.06969,4.1965e-05,4.1965e-05,4.1965e-05
20,121.047,0.52578,1.05238,1.0148,0.9711,0.96923,0.98805,0.83716,0.65558,0.51417,1.06601,2.29075e-05,2.29075e-05,2.29075e-05
