epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.25426,1.08492,4.37366,1.46916,0.02532,0.81185,0.12573,0.08305,0.82966,3.32801,1.25593,0.000126645,0.000126645,0.000126645
2,11.6761,0.93869,3.45236,1.35565,0.20389,0.50297,0.2671,0.19527,0.88148,2.53776,1.33168,0.000253295,0.000253295,0.000253295
3,16.8103,0.94515,3.06243,1.35549,0.42129,0.4988,0.42454,0.31131,0.92829,2.16088,1.35623,0.000378252,0.000378252,0.000378252
4,21.8656,0.94069,2.81394,1.34099,0.38897,0.57758,0.50278,0.3618,0.89169,1.97087,1.34856,0.000377377,0.000377377,0.000377377
5,26.9082,0.9163,2.57892,1.31679,0.48067,0.61878,0.56877,0.4322,0.82383,1.68029,1.24867,0.000374836,0.000374836,0.000374836
6,32.0848,0.88274,2.3614,1.26242,0.58465,0.69272,0.66106,0.52258,0.79716,1.46924,1.19408,0.000372295,0.000372295,0.000372295
7,37.1828,0.86015,2.24437,1.25081,0.63884,0.70944,0.73739,0.5766,0.76256,1.36488,1.20211,0.000369754,0.000369754,0.000369754
8,42.2452,0.86526,2.14608,1.24621,0.58247,0.67985,0.66481,0.51923,0.82379,1.45872,1.20563,0.000367213,0.000367213,0.000367213
9,47.3351,0.85211,2.03017,1.22208,0.70049,0.78948,0.8452,0.68558,0.75284,1.13326,1.15367,0.000364672,0.000364672,0.000364672
10,52.4551,0.8425,1.92768,1.22494,0.74999,0.74627,0.80897,0.64213,0.74485,1.15839,1.1629,0.000362131,0.000362131,0.000362131
11,57.6129,0.80899,1.81139,1.19709,0.83183,0.79144,0.88691,0.72146,0.75327,0.96187,1.15302,0.00035959,0.00035959,0.00035959
12,62.7482,0.81292,1.7196,1.20263,0.80528,0.81415,0.8959,0.73556,0.71355,0.94147,1.1222,0.000357049,0.000357049,0.000357049
13,67.8872,0.82263,1.67883,1.20797,0.81201,0.85009,0.91237,0.74546,0.75202,0.90965,1.14986,0.000354508,0.000354508,0.000354508
14,73.0812,0.81793,1.61406,1.1989,0.81736,0.86045,0.93315,0.75899,0.72472,0.872,1.11436,0.000351967,0.000351967,0.000351967
